Loading dataset...
Loading dataset...
{'eval_loss': 0.4628215730190277, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0276, 'eval_samples_per_second': 507.237, 'eval_steps_per_second': 72.462, 'epoch': 33.0}
{'eval_loss': 0.4604106843471527, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0307, 'eval_samples_per_second': 455.524, 'eval_steps_per_second': 65.075, 'epoch': 34.0}
{'eval_loss': 0.45764240622520447, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0347, 'eval_samples_per_second': 403.022, 'eval_steps_per_second': 57.575, 'epoch': 35.0}
{'loss': 0.5816, 'grad_norm': 3.502565860748291, 'learning_rate': 2.8571428571428573e-06, 'epoch': 35.71}
{'eval_loss': 0.4543539881706238, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.1306, 'eval_samples_per_second': 107.219, 'eval_steps_per_second': 15.317, 'epoch': 36.0}
{'eval_loss': 0.451704204082489, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0752, 'eval_samples_per_second': 186.214, 'eval_steps_per_second': 26.602, 'epoch': 37.0}
{'eval_loss': 0.44891268014907837, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.029, 'eval_samples_per_second': 483.33, 'eval_steps_per_second': 69.047, 'epoch': 38.0}
{'eval_loss': 0.44650739431381226, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0305, 'eval_samples_per_second': 458.501, 'eval_steps_per_second': 65.5, 'epoch': 39.0}
{'eval_loss': 0.44489923119544983, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0274, 'eval_samples_per_second': 510.837, 'eval_steps_per_second': 72.977, 'epoch': 40.0}
{'eval_loss': 0.44333311915397644, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0275, 'eval_samples_per_second': 509.022, 'eval_steps_per_second': 72.717, 'epoch': 41.0}
{'eval_loss': 0.4418950378894806, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0254, 'eval_samples_per_second': 551.773, 'eval_steps_per_second': 78.825, 'epoch': 42.0}
{'eval_loss': 0.44063931703567505, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.031, 'eval_samples_per_second': 451.823, 'eval_steps_per_second': 64.546, 'epoch': 43.0}
{'eval_loss': 0.4394623339176178, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0256, 'eval_samples_per_second': 547.406, 'eval_steps_per_second': 78.201, 'epoch': 44.0}
{'eval_loss': 0.43856504559516907, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0337, 'eval_samples_per_second': 415.522, 'eval_steps_per_second': 59.36, 'epoch': 45.0}
{'eval_loss': 0.43814805150032043, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.034, 'eval_samples_per_second': 411.627, 'eval_steps_per_second': 58.804, 'epoch': 46.0}
{'eval_loss': 0.4375705420970917, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0256, 'eval_samples_per_second': 546.296, 'eval_steps_per_second': 78.042, 'epoch': 47.0}
{'eval_loss': 0.4371044337749481, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0283, 'eval_samples_per_second': 494.62, 'eval_steps_per_second': 70.66, 'epoch': 48.0}
{'eval_loss': 0.4368794858455658, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0266, 'eval_samples_per_second': 527.211, 'eval_steps_per_second': 75.316, 'epoch': 49.0}
{'eval_loss': 0.4367755055427551, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.2838, 'eval_samples_per_second': 49.337, 'eval_steps_per_second': 7.048, 'epoch': 50.0}
{'train_runtime': 149.7931, 'train_samples_per_second': 37.385, 'train_steps_per_second': 4.673, 'train_loss': 0.5530127934047154, 'epoch': 50.0}
{'accuracy': 0.52}
