Loading dataset...
{'eval_loss': 0.4831783175468445, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0401, 'eval_samples_per_second': 349.189, 'eval_steps_per_second': 49.884, 'epoch': 33.0}
{'eval_loss': 0.48067542910575867, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0316, 'eval_samples_per_second': 443.195, 'eval_steps_per_second': 63.314, 'epoch': 34.0}
{'eval_loss': 0.47829338908195496, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0253, 'eval_samples_per_second': 554.205, 'eval_steps_per_second': 79.172, 'epoch': 35.0}
{'loss': 0.5807, 'grad_norm': 3.133803606033325, 'learning_rate': 2.8571428571428573e-06, 'epoch': 35.71}
{'eval_loss': 0.47598379850387573, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.1602, 'eval_samples_per_second': 87.409, 'eval_steps_per_second': 12.487, 'epoch': 36.0}
{'eval_loss': 0.4741216003894806, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.4344, 'eval_samples_per_second': 32.228, 'eval_steps_per_second': 4.604, 'epoch': 37.0}
{'eval_loss': 0.4727199077606201, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.4735, 'eval_samples_per_second': 29.565, 'eval_steps_per_second': 4.224, 'epoch': 38.0}
{'eval_loss': 0.47103244066238403, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.4669, 'eval_samples_per_second': 29.985, 'eval_steps_per_second': 4.284, 'epoch': 39.0}
{'eval_loss': 0.46996429562568665, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.2982, 'eval_samples_per_second': 46.944, 'eval_steps_per_second': 6.706, 'epoch': 40.0}
{'eval_loss': 0.4683918356895447, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.2401, 'eval_samples_per_second': 58.313, 'eval_steps_per_second': 8.33, 'epoch': 41.0}
